taz_key,POINT_X,POINT_Y
77,4771435.893,3739411.738
78,4771558.929,3738175.312
79,4773173.469,3737043.386
80,4771218.93,3736752.614
81,4771883.457,3735384.395
82,4770202.924,3733537.216
83,4768114.64,3732860.408
84,4768755.753,3735080.601
85,4769049.057,3736533.155
86,4768946.078,3738417.72
87,4765902.506,3736391.661
88,4765920.892,3735033.494
89,4765598.223,3733247.226
90,4762233.155,3732960.179
91,4762919.093,3730776.156
92,4763994.997,3728283.271
93,4767256.115,3730278.007
94,4768686.267,3730703.887
95,4768248.913,3728557.02
96,4768643.629,3727064.476
97,4770664.795,3727091.279
98,4770642.948,3728698.724
99,4772611.2,3727724.887
100,4773916.848,3727725.63
101,4773868.275,3730515.046
102,4772569.92,3730492.074
103,4770609.25,3730751.794
104,4770996.7,3732679.349
105,4772566.608,3733383.81
106,4773835.029,3733893.442
107,4776151.288,3733212.732
108,4779446.918,3733151.424
109,4781515.115,3736240.232
110,4782425.75,3734293.389
111,4783092.264,3730011.741
112,4780725.221,3731248.879
113,4780179.452,3728606.692
114,4778850.164,3730543.014
115,4777680.257,3729282.937
116,4775813.567,3730877.669
117,4775826.206,3729082.492
118,4775196.543,3727424.495
119,4776232.203,3727408.514
120,4777450.705,3727500.16
121,4776877.241,3724696.086
122,4774956.173,3724701.525
123,4773236.882,3724805.031
124,4772865.125,3722631.951
125,4775161.323,3722025.35
126,4771867.894,3721247.316
127,4771323.941,3723323.128
128,4771373.979,3725407.859
129,4768978.42,3725607.588
130,4767626.033,3723871.39
131,4764388.918,3723027.203
132,4762192.444,3719935.631
133,4765356.795,3720106.188
134,4767940.09,3719397.867
135,4769295.025,3717657.693
136,4771596.02,3718288.762
137,4772260.026,3719383.455
138,4775658.255,3720113.593
139,4778383.654,3721379.562
140,4780042.325,3720367.362
141,4781198.766,3721658.596
142,4779541.12,3724956.484
143,4781915.035,3721349.431
144,4783367.197,3720836.106
145,4785831.734,3719680.123
146,4787501.103,3717112.722
147,4782749.167,3718372.713
148,4781474.548,3716222.383
149,4781334.31,3713207.399
150,4779328.769,3717737.636
151,4778017.51,3716443.547
152,4775464.699,3717263.854
153,4777522.55,3714595.811
154,4776375.062,3712716.793
155,4774493.472,3713523.059
156,4773883.381,3712287.404
157,4772553.847,3712876.296
158,4773027.66,3715308.202
159,4769367.233,3713254.03
160,4770210.733,3716168.279
161,4768173.86,3715654.022
162,4766979.752,3714254.026
163,4766836.358,3712815.199
164,4763908.742,3713931.612
165,4766056.449,3716402.258
166,4762516.468,3717074.286
167,4761899.446,3714866.202
168,4758953.219,3715417.468
169,4758957.77,3720010.485
170,4759335.898,3723980.787
171,4762531.645,3725453.069
172,4759600.209,3726535.696
173,4758010.158,3728924.176
174,4759314.113,3730466.394
175,4760007.599,3732656.661
176,4758126.06,3732666.754
177,4755769.425,3731997.44
178,4753055.369,3732008.319
179,4750688.124,3731231.376
180,4748728.624,3732729.638
181,4748319.44,3730407.227
182,4748620.311,3725841.956
183,4750735.832,3725715.34
184,4753039.118,3727927.597
185,4755746.047,3727910.094
186,4754418.847,3724026.535
187,4753575.396,3721768.227
188,4755598.052,3719482.14
189,4755578.238,3716307.171
190,4751403.149,3717258.178
191,4752751.468,3711753.45
192,4754065.815,3709509.445
193,4754785.962,3706533.424
194,4754952.188,3702937.988
195,4751477.634,3708107.353
196,4750810.166,3702213.703
